datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,trading,trend_cnt,dtrend_cnt,profit
2021-11-12 00:00:00,32.438,32.712,31.929,32.247,78783.0012,-0.1910000000000025,35.365620219374584,33.14555,30.925479780625416,-0.00573489963925633,20.960502692998134,32.41748030099555,32.86452500544681,33.389930776442824,32.86257330287288,33.137814064364164,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-12 02:00:00,32.256,32.712,31.435,31.571,128787.7012,-0.6849999999999987,34.47574747304237,32.8892,31.302652526957637,-0.02096319037429828,5.285658764088712,18.518319528185128,32.629338640820116,33.21669927392446,32.715291859025854,32.66381960939246,ATOMUSD,HOLD,0.0,2.0,31.73544
2021-11-12 04:00:00,31.556,32.024,31.201,31.674,132884.4012,0.11799999999999855,34.19951336126549,32.742900000000006,31.286286638734524,0.003262487726077623,17.8355957767722,14.693919077953026,32.45564070612555,33.0697755335507,32.564672347196655,32.21736151771842,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-12 06:00:00,31.666,32.256,31.378,32.046,134303.4012,0.379999999999999,34.052861926016796,32.7945,31.536138073983203,0.011744648607690866,32.46254321936221,18.52793258674105,32.38116057773909,32.97227310178396,32.45568696066471,32.704281458126914,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-12 08:00:00,32.048,32.074,31.001,31.335,344280.6012,-0.713000000000001,34.1467412555213,32.7524,31.358058744478704,-0.022186856393933696,11.915804495183716,20.73798116377272,32.19094956360471,32.816342330185485,32.18417048061538,32.56401049522689,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-12 10:00:00,31.338,31.922,30.559,31.901,307557.3012,0.5629999999999988,34.164779338600646,32.7232,31.281620661399348,0.018062868996330028,43.89924762839383,29.425865114313257,32.13823146113113,32.72916687016782,32.07499787261885,32.48246239980441,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-12 12:00:00,31.91,32.078,31.69,31.947,129190.3012,0.036999999999999034,34.16650855993038,32.6838,31.201091440069618,0.0014419610670510785,45.403990840693446,33.739680988090335,32.10346210456183,32.654674787294695,32.02390725127267,32.44024330444225,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-12 14:00:00,31.947,32.318,31.939,32.038,90640.0012,0.09099999999999753,34.11190847656089,32.6248,31.137691523439113,0.002848467774751784,51.33634154807349,46.87986000572025,32.0915599037324,32.59594385517139,31.864832458995952,32.40044310864225,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-12 16:00:00,32.017,32.25,31.885,32.054,47152.3012,0.036999999999999034,33.979901259583286,32.54725,31.114598740416714,0.0004994069542421098,51.89170426935101,49.544012219372654,32.084730830326514,32.54433015467888,31.79827430561083,32.33204748757223,ATOMUSD,HOLD,3.0,0.0,31.73544
2021-11-12 18:00:00,32.048,32.342,32.026,32.042,51232.1012,-0.006000000000000227,33.81278480407967,32.46595,31.11911519592033,-0.00037436825357206605,52.5513819985826,51.926475938669036,32.07696158844897,32.49648918756661,31.773751774251476,32.248451562012974,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-12 20:00:00,32.034,32.47,31.983,32.144,49671.2012,0.10999999999999943,33.61875067061343,32.39,31.161249329386568,0.0031833218900192417,65.441783649876,56.628289972603206,32.08915039054916,32.46291878875074,31.755695932088404,32.211638378370594,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-12 22:00:00,32.146,32.307,31.974,32.147,33853.3012,0.0009999999999976694,33.559382966417544,32.3517,31.14401703358246,9.333001493283533e-05,65.56564822460764,61.18627129102208,32.0996685013584,32.432831285060196,31.78829023350442,32.18394844555548,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-13 00:00:00,32.146,32.625,32.121,32.566,32010.7012,0.4200000000000017,33.47330331966827,32.32185,31.170396680331727,0.013033875633807313,82.86540049545835,71.29094412331399,32.18445604656596,32.445514019816365,31.829614914279965,32.13215991645073,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-13 02:00:00,32.565,32.693,31.94,32.024,40112.4012,-0.5409999999999968,33.32997195799475,32.2602,31.190428042005244,-0.016643124731314907,68.04458894565715,72.1585458885744,32.15528221991761,32.4053698274529,31.80680832864008,32.08225614523748,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-13 04:00:00,32.025,32.473,32.018,32.183,38678.0012,0.15800000000000125,33.12935431818438,32.20005,31.27074568181561,0.00496502623032713,75.42963307013456,75.44654083708336,32.160321816296225,32.38419174864786,32.031749032590035,32.046927167919556,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-13 06:00:00,32.179,32.396,32.053,32.246,34600.1012,0.06700000000000017,32.94390113597495,32.1507,31.357498864025054,0.0019575552310227007,79.0534208059983,74.17588094059668,32.17589966787873,32.37103062972901,32.11684579463244,32.01097085606896,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-13 08:00:00,32.259,33.16,32.239,33.028,95921.0012,0.7689999999999984,32.96773399404314,32.15515,31.342566005956858,0.024251069900142586,94.9250288350635,83.13602757039878,32.33082700099169,32.43359914118339,32.45524058371231,32.05046215956946,ATOMUSD,HOLD,2.0,0.0,31.73544
2021-11-13 10:00:00,33.023,33.161,32.789,33.075,111224.2012,0.0519999999999996,33.06008384141392,32.1757,31.291316158586074,0.001423035000605699,96.69485011529598,90.22443325211925,32.46613118262956,32.49468493726116,32.67827076553266,32.06239871406319,ATOMUSD,HOLD,3.0,0.0,31.73544
2021-11-13 12:00:00,33.075,33.075,32.522,32.725,66779.0012,-0.3500000000000014,33.043119899319116,32.1713,31.299480100680892,-0.010582010582010581,83.24365872405842,91.62117922480597,32.513198240333274,32.51661970514105,32.71073618842041,32.070390992962636,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-13 14:00:00,32.725,32.841,32.406,32.486,95745.4012,-0.23900000000000432,33.049433739971256,32.173950000000005,31.298466260028754,-0.007303284950343936,54.11284840244702,78.0171190806005,32.50825310572722,32.51370354274667,32.69699725141663,32.09027216340061,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-13 16:00:00,32.49,32.705,32.49,32.502,55024.9012,0.012000000000000455,33.07401056688847,32.186699999999995,31.29938943311152,0.0004925198547067744,48.35423197492171,61.903579700475724,32.50711617741318,32.51258891962794,32.698464111245386,32.10177275240886,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-13 18:00:00,32.504,33.246,32.474,32.888,57697.5012,0.38400000000000034,33.14294091947322,32.25255,31.36215908052678,0.011876192234324012,73.6958119030122,58.72096409346032,32.57636778151988,32.54834235585385,32.72892468701069,32.15477430923296,ATOMUSD,HOLD,1.0,0.0,31.73544
2021-11-13 20:00:00,32.882,32.908,32.45,32.513,43312.4012,-0.3689999999999998,33.148431958343494,32.2945,31.4405680416565,-0.011402335198248625,43.87442572741167,55.30815653511521,32.564846366698085,32.5449764172011,32.71932915616487,32.18826478086737,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-13 22:00:00,32.523,32.612,32.262,32.493,48276.5012,-0.030000000000001137,33.166786040941254,32.31685,31.466913959058754,-0.0006151385599605375,42.343032159264965,53.304423263229616,32.551783390934794,32.54002628222956,32.72606636836671,32.2090673339601,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-14 00:00:00,32.496,32.5,32.25,32.293,41786.1012,-0.20300000000000296,33.078820577380384,32.36475,31.650679422619614,-0.006155171883174937,27.029096477794617,37.74885145482376,32.50473186531029,32.51649996963627,32.724054859401086,32.37687594871682,ATOMUSD,HOLD,0.0,2.0,31.73544
2021-11-14 02:00:00,32.304,32.353,32.083,32.125,27672.8012,-0.17900000000000205,33.066017418526584,32.37595,31.685882581473425,-0.005202365837797651,14.16539050535977,27.84583971413979,32.43568970798115,32.479214258242344,32.72811412901845,32.45685254282796,ATOMUSD,HOLD,0.0,3.0,31.73544
2021-11-14 04:00:00,32.124,32.26,32.038,32.204,28173.40119,0.0799999999999983,33.054371887063134,32.3888,31.72322811293687,0.002459143968871702,20.214395099540518,20.46962736089831,32.39356430653003,32.45300337650498,32.64364525101511,32.48712783425142,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-14 06:00:00,32.211,32.324,32.072,32.199,32843.90119,-0.012000000000000455,33.048301908800916,32.39685,31.745398091199082,-0.00015526021612233265,14.739413680781526,16.373066428560616,32.358188978070025,32.4288125787426,32.49817390518598,32.4962378630447,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-14 08:00:00,32.209,32.209,31.635,31.635,77347.7012,-0.5740000000000016,33.09700175937596,32.3759,31.65479824062405,-0.01751607192769955,0.0,11.651269593440693,32.22670007296638,32.353211380767114,32.31629532153243,32.40322491205344,ATOMUSD,HOLD,0.0,1.0,31.73544
2021-11-14 10:00:00,31.645,31.786,31.1,31.546,83887.3012,-0.0990000000000002,33.15042679569902,32.3511,31.551773204300982,-0.0028133396554449464,20.78285181733447,11.840755166038676,32.102936423336125,32.27633410640834,32.13753794257333,32.31322704068524,ATOMUSD,HOLD,0.0,2.0,31.73544
2021-11-14 12:00:00,31.564,31.579,31.169,31.425,57041.1012,-0.13899999999999935,33.21237479141097,32.31515,31.417925208589033,-0.003835668547517823,15.144454799627175,11.975768872320558,31.979675255456833,32.195254667702784,32.00995724077265,32.25101772678739,ATOMUSD,HOLD,0.0,3.0,31.73544
2021-11-14 14:00:00,31.423,31.554,31.329,31.464,40175.3012,0.04100000000000037,33.25396789583339,32.281,31.308032104166607,0.0012410501193316215,16.96178937558234,17.629698664181337,31.885916118101044,32.125611366016805,31.864753978689215,32.21274663883379,ATOMUSD,HOLD,0.0,0.0,31.73544
2021-11-14 16:00:00,31.454,31.94,31.444,31.932,85131.6012,0.477999999999998,33.22448086851745,32.2493,31.274119131482543,0.014874141876430214,38.769804287045524,23.62534948741835,31.89429500571903,32.10717218830092,31.830155888902887,32.17938538194059,ATOMUSD,HOLD,1.0,0.0,31.73544
