datetime,open,high,low,close,volume,candle,bb_upper,bb_middle,bb_lower,returns,stoch_k,stoch_d,short_ema,long_ema,short_vama,long_vama,ticker,anomoly,trading,trend_cnt,dtrend_cnt,profit
2021-05-12 11:00:00,1.0013,1.0014,1.0005,1.0011,5893421.2412,-0.00019999999999997797,1.001601279440309,1.0011249999999998,1.0006487205596906,-0.0002995805871779389,52.941176470594385,66.66666666667102,1.0012194645520243,1.0011751350539366,1.0011902132035704,1.001123794830906,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 13:00:00,1.0011,1.0012,1.0006,1.0006,6732025.8712,-0.000500000000000167,1.0016167261238385,1.00112,1.0006232738761616,-0.0004994506043354274,23.52941176470281,49.01960784313956,1.0011068346334093,1.0011203589341133,1.001109551442136,1.0011010851601538,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-12 15:00:00,1.0007,1.0014,1.0006,1.0013,4063840.4912,0.000600000000000156,1.001631613883576,1.0011400000000001,1.0006483861164244,0.0006995802518490191,64.70588235294579,47.058823529414326,1.0011419556091696,1.0011374679893483,1.0011363451352344,1.0011291772621635,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 17:00:00,1.0013,1.0015,0.999,0.9993,11164828.981199998,-0.002000000000000113,1.002009166304662,1.00105,1.000090833695338,-0.001997403375611828,10.344827586205708,32.86004056795144,1.000807054589191,1.0009624675000917,1.0008037436986605,1.0008231055372263,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 19:00:00,0.9991,1.0023,0.998,1.0013,10582942.4012,0.0022000000000000908,1.002030567697414,1.00108,1.000129432302586,0.002001400980686574,76.74418604651403,50.59829866188851,1.0008966810275484,1.000994614040459,1.0008735255238943,1.0008863885172827,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 21:00:00,1.0013,1.0016,1.0008,1.0008,4216501.441199999,-0.000500000000000167,1.002016748880873,1.0010600000000003,1.0001032511191275,-0.000499350843903068,65.11627906976588,50.73509756749521,1.0008791026588986,1.0009760790632025,1.0008602174045387,1.000875020469771,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-12 23:00:00,1.0008,1.0015,1.0006,1.0012,4661504.4412,0.000400000000000178,1.0020282879470557,1.00107,1.0001117120529441,0.00039968025579550925,74.41860465116544,72.09302325581513,1.0009374476300201,1.0009974051860226,1.000862420741672,1.0008888529603468,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-13 01:00:00,1.0012,1.0018,1.0011,1.0011,3134346.7812,-9.999999999998899e-05,1.0020282879470557,1.00107,1.0001117120529441,-9.988014382744659e-05,72.09302325581683,70.54263565891604,1.0009670026063853,1.0010071762530555,1.000831227669702,1.0008903434233514,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
2021-05-13 03:00:00,1.0012,1.0013,1.0002,1.0004,3617087.0512,-0.0008000000000001339,1.0020387298860796,1.001035,1.0000312701139202,-0.0006992308460694874,55.813953488371496,67.44186046511793,1.0008639112233915,1.0009493492344672,1.0007444814518198,1.0008655369079966,USDTUSD,1,HOLD,0.0,1.0,0.0007919999999999128
2021-05-13 05:00:00,1.0004,1.0005,0.9992,1.0003,5876820.0312,-9.999999999998899e-05,1.0020194330438421,1.00098,0.9999405669561579,-9.996001599354987e-05,53.488372093022896,60.46511627907041,1.0007613819100356,1.0008875057644206,1.0006233243900664,1.0008167213879775,USDTUSD,0,HOLD,0.0,2.0,0.0007919999999999128
2021-05-13 07:00:00,1.0003,1.0012,0.9998,1.001,4939165.271199999,0.0006999999999999229,1.0019654194022385,1.0009549999999998,0.9999445805977611,0.0006997900629810427,69.76744186046308,59.68992248061915,1.000804767017306,1.000898219608638,1.0005874756784228,1.0008037042068092,USDTUSD,1,HOLD,0.0,0.0,0.0007919999999999128
